country_code,year,avg_income
MEX,2013,17468.82
MEX,2012,17456.35
MEX,2011,17775.69
MEX,2018,17864.35
NLD,2018,60514.98
NLD,2017,61186.41
NLD,2016,61630.71
NLD,2015,61383.22
NLD,2014,60646.03
NLD,2013,60971.77
NLD,2012,60792.5
NLD,2008,58461.63
NLD,2010,60860.97
NLD,2009,60919.76
NLD,2007,58109.11
NLD,2006,57310.31
NLD,2019,60140.06
NLD,2005,57435.3
NLD,2004,57435.59
NLD,2011,60589.22
NLD,2020,61560.27
NLD,2002,56149.88
NLD,2000,55157.81
NLD,2001,55976.25
NLD,2003,56546.11
NZL,2000,32801.98
NZL,2018,43898.38
NZL,2017,42827.88
NZL,2016,42535.43
NZL,2015,41195.37
NZL,2014,40465.81
NZL,2013,40307.75
NZL,2012,40855.48
NZL,2011,39991.68
NZL,2010,40022.28
NZL,2008,39110.49
NZL,2007,39569.53
NZL,2006,37385.45
NZL,2005,37157.64
NZL,2004,36539.61
NZL,2003,35303.28
NZL,2002,34041.52
NZL,2001,33423.89
NZL,2009,39588.21
NZL,2020,46125.77
NZL,2019,45233.46
POL,2000,21858.73
POL,2001,23107.57
POL,2020,33330.32
POL,2019,32695.43
POL,2018,31213.41
POL,2017,29236.48
POL,2016,28050.69
POL,2015,26709.77
POL,2014,26025.53
POL,2013,25486.25
POL,2010,25511.56
POL,2011,25480.73
POL,2012,25217.82
POL,2003,23290.7
POL,2004,22773.8
POL,2005,22731.08
POL,2002,23012.43
POL,2007,23615.64
POL,2008,24874.98
POL,2009,24810.94
POL,2006,22880.07
PRT,2020,29093.13
PRT,2013,27840.2
PRT,2019,28790.37
PRT,2018,27695.95
PRT,2017,27244.36
PRT,2016,27134.71
PRT,2015,27277.83
PRT,2014,27360.52
PRT,2012,27321.43
PRT,2007,28174.96
PRT,2010,29260.3
PRT,2009,29378.43
PRT,2008,28080.94
PRT,2006,27988.29
PRT,2005,28609.2
PRT,2004,28766.45
PRT,2003,28728.32
PRT,2002,28794.65
PRT,2000,28691.85
PRT,2011,28548.02
PRT,2001,28807.07
SVN,2018,40664.41
SVN,2019,41860.16
SVN,2000,29550.03
SVN,2020,43309.72
SVN,2002,30840.95
SVN,2003,31480.8
SVN,2004,33001.49
SVN,2005,34258.78
SVN,2007,36190.32
SVN,2008,36740.53
SVN,2001,30758.01
SVN,2010,38123.3
SVN,2009,37051.67
SVN,2017,39962.2
SVN,2016,39241.77
SVN,2015,37779.4
SVN,2006,35399.41
SVN,2013,36279.1
SVN,2012,36882.53
SVN,2011,38007.48
SVN,2014,36999.88
TUR,2018,30610.72
TUR,2017,30076.38
TUR,2016,30653.26
TUR,2015,27308.1
TUR,2014,26631.2
