date,currency_code,name,local_price,dollar_ex,dollar_price
7/1/21,SEK,Sweden,54,8,6.75
7/1/21,CHF,Switzerland,6.5,1,6.5
7/1/21,TWD,Taiwan,72,28,2.57
7/1/21,THB,Thailand,128,32,4
7/1/21,TRY,Turkey,19.99,8,2.5
7/1/21,UAH,Ukraine,65,27,2.41
7/1/21,AED,United Arab Emirates,14.75,3,4.92
7/1/21,USD,United States,4.93,1,4.93
7/1/21,UYU,Uruguay,225,44,5.11
7/1/21,VES,Venezuela,16020000,3613989,4.43
7/1/21,VND,Vietnam,69000,23028,3
1/1/22,ARS,Argentina,450,105,4.29
1/1/22,AUD,Australia,6.4,1,6.4
1/1/22,EUR,Austria,3.8,1,3.8
1/1/22,AZN,Azerbaijan,4.5,1,4.5
1/1/22,BHD,Bahrain,1.5,1,1.5
1/1/22,EUR,Belgium,4.55,1,4.55
1/1/22,BRL,Brazil,22.9,5,4.58
1/1/22,GBP,Britain,3.59,1,3.59
1/1/22,CAD,Canada,6.77,1,6.77
1/1/22,CLP,Chile,3100,798,3.88
1/1/22,CNY,China,24.4,6,4.07
1/1/22,COP,Colombia,12950,3941,3.29
1/1/22,CRC,Costa Rica,2650,642,4.13
1/1/22,HRK,Croatia,23.67,6,3.94
1/1/22,CZK,Czech Republic,89,21,4.24
1/1/22,DKK,Denmark,32,6,5.33
1/1/22,EGP,Egypt,42.5,15,2.83
1/1/22,EUR,Estonia,3.4,1,3.4
1/1/22,EUR,Euro area,4.42,1,4.42
1/1/22,EUR,Finland,4.95,1,4.95
1/1/22,EUR,France,4.35,1,4.35
1/1/22,EUR,Germany,4.46,1,4.46
1/1/22,EUR,Greece,3.4,1,3.4
1/1/22,GTQ,Guatemala,26,7,3.71
1/1/22,HNL,Honduras,89,24,3.71
1/1/22,HKD,Hong Kong,22,7,3.14
1/1/22,HUF,Hungary,982,317,3.1
1/1/22,INR,India,190,74,2.57
1/1/22,IDR,Indonesia,34000,14382,2.36
1/1/22,EUR,Ireland,4.6,1,4.6
1/1/22,ILS,Israel,17,3,5.67
1/1/22,EUR,Italy,4.8,1,4.8
1/1/22,JPY,Japan,390,115,3.39
1/1/22,JOD,Jordan,2.12,1,2.12
1/1/22,KWD,Kuwait,1.25,1,1.25
1/1/22,EUR,Latvia,2.85,1,2.85
1/1/22,LBP,Lebanon,70000,21500,3.26
1/1/22,EUR,Lithuania,2.9,1,2.9
1/1/22,MYR,Malaysia,9.99,4,2.5
1/1/22,MXN,Mexico,69,20,3.45
1/1/22,MDL,Moldova,52,18,2.89
