"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,4.81,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,5.03,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,5.31,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,5.57,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,5.86,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,6.23,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,6.6,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,6.81,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,7.13,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,7.97,,
"POL","Poland","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,8.17,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,7.07,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,7.13,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,7.4,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,7.66,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,7.86,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,8.16,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,8.7,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,8.99,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,9.23,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,9.24,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,9.06,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,9.27,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,9.38,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,9.52,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,9.87,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.14,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.29,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,10.49,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,11.1,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,11.66,,
"NZL","New Zealand","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,11.9,,
"KOR","Korea","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,3.04,,
"KOR","Korea","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,3.29,,
"KOR","Korea","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,3.47,,
